"ID Cliente","Zona","País","Tipo de producto","Canal de venta","Prioridad","Fecha pedido","ID Pedido","Fecha envío","Unidades","Precio Unitario","Coste unitario","Importe venta total","Importe Coste total"
"C2421","Europa","United Kingdom","Snacks","Offline","Crítica","10/12/2020","242113196","11/30/2020","5530","152.58","97.44","843767.4","538843.2"
"C1908","Europa","Malta","Cárnicos","Online","Alta","10/13/2020","190800607","12/1/2020","994","421.89","364.69","419358.66","362501.86"
"C7652","Australia y Oceanía","Marshall Islands","Cereales","Online","Crítica","10/14/2020","765228068","12/2/2020","6845","205.7","117.11","1408016.5","801617.95"
"C2326","África","Iran","Frutas","Offline","Baja","10/15/2020","232631909","12/3/2020","9806","9.33","6.92","91489.98","67857.52"
"C5305","Centroamérica y Caribe","Guatemala","Alimento infantil","Offline","Media","10/16/2020","530560958","12/4/2020","3633","255.28","159.42","927432.24","579172.86"
"C5168","Centroamérica y Caribe","Grenada","Bebida","Offline","Baja","10/17/2020","516876542","12/5/2020","4110","47.45","31.79","195019.5","130656.9"
"C9197","Australia y Oceanía","Fiji","Snacks","Offline","Media","10/18/2020","919752490","12/6/2020","4056","152.58","97.44","618864.48","395216.64"
"C2876","África","Tunisia ","Cosméticos","Offline","Media","10/19/2020","287675130","12/7/2020","8319","437.2","263.33","3637066.8","2190642.27"
"C8394","Centroamérica y Caribe","Grenada","Cuidado personal","Offline","Crítica","10/20/2020","839443290","12/8/2020","8779","81.73","56.67","717507.67","497505.93"
"C8141","Australia y Oceanía","Australia","Material de oficina","Online","Media","10/21/2020","814168298","12/9/2020","9347","651.21","524.96","6086859.87","4906801.12"
"C3212","Norteamérica","Greenland","Cosméticos","Online","Alta","10/22/2020","321273982","12/10/2020","966","437.2","263.33","422335.2","254376.78"
"C8904","África","Angola","Snacks","Online","Crítica","10/23/2020","890496671","12/11/2020","6609","152.58","97.44","1008401.22","643980.96"
"C5218","África","Zambia","Bebida","Offline","Crítica","10/24/2020","521885192","12/12/2020","6281","47.45","31.79","298033.45","199672.99"
"C4358","África","Kenya","Verduras","Offline","Alta","10/25/2020","435800874","12/13/2020","2018","154.06","90.93","310893.08","183496.74"
"C1229","África","Azerbaijan","Frutas","Offline","Crítica","10/26/2020","122917544","12/14/2020","2888","9.33","6.92","26945.04","19984.96"
"C4942","África","Mozambique","Cuidado personal","Offline","Crítica","10/27/2020","494221532","12/15/2020","9989","81.73","56.67","816400.97","566076.63"
"C7310","Australia y Oceanía","Federated States of Micronesia","Cosméticos","Offline","Crítica","10/28/2020","731011664","12/16/2020","1451","437.2","263.33","634377.2","382091.83"
"C5348","Centroamérica y Caribe","Dominican Republic","Snacks","Offline","Crítica","10/29/2020","534899270","12/17/2020","7436","152.58","97.44","1134584.88","724563.84"
"C5778","África","Libya","Material de oficina","Online","Alta","10/30/2020","577808177","12/18/2020","5135","651.21","524.96","3343963.35","2695669.6"
"C2519","Asia","Uzbekistan","Material de oficina","Online","Baja","10/31/2020","251974713","12/19/2020","3772","651.21","524.96","2456364.12","1980149.12"
"C8199","Asia","Sri Lanka","Cuidado personal","Offline","Media","11/1/2020","819947707","12/20/2020","9602","81.73","56.67","784771.46","544145.34"
"C4645","África","The Gambia","Cosméticos","Online","Crítica","11/2/2020","464588487","12/21/2020","912","437.2","263.33","398726.4","240156.96"
"C1390","Asia","Myanmar","Snacks","Offline","Media","11/3/2020","139070880","12/22/2020","3019","152.58","97.44","460639.02","294171.36"
"C4168","Asia","Bhutan","Ropa","Online","Crítica","11/4/2020","416881215","12/23/2020","3270","109.28","35.84","357345.6","117196.8"
"C1418","África","Mali","Verduras","Online","Crítica","11/5/2020","141818320","12/24/2020","6047","154.06","90.93","931600.82","549853.71"
"C4779","África","Burundi","Cuidado personal","Online","Alta","11/6/2020","477993524","12/25/2020","7761","81.73","56.67","634306.53","439815.87"
"C8598","África","Libya","Ropa","Offline","Alta","11/7/2020","859830653","12/26/2020","1852","109.28","35.84","202386.56","66375.68"
"C3420","África","Nigeria","Ropa","Offline","Crítica","11/8/2020","342066037","12/27/2020","3797","109.28","35.84","414936.16","136084.48"
"C7497","Europa","Norway","Doméstico","Online","Crítica","11/9/2020","749748504","12/28/2020","6098","668.27","502.54","4075110.46","3064488.92"
"C8282","África","Kenya","Cosméticos","Offline","Media","11/10/2020","828239381","12/29/2020","3293","437.2","263.33","1439699.6","867145.69"
"C2932","Australia y Oceanía","Papua New Guinea","Verduras","Online","Alta","11/11/2020","293212497","12/30/2020","6948","154.06","90.93","1070408.88","631781.64"
"C2806","Asia","North Korea","Cuidado personal","Offline","Baja","11/12/2020","280654180","12/31/2020","663","81.73","56.67","54186.99","37572.21"
"C1968","Europa","Montenegro","Ropa","Offline","Media","11/13/2020","196863257","1/1/2021","5067","109.28","35.84","553721.76","181601.28"
"C8684","Europa","Norway","Frutas","Offline","Alta","11/14/2020","868451058","1/2/2021","2822","9.33","6.92","26329.26","19528.24"
"C4923","África","Lesotho","Ropa","Offline","Baja","11/15/2020","492341411","1/3/2021","3619","109.28","35.84","395484.32","129704.96"
"C4857","Asia","Indonesia","Cárnicos","Online","Alta","11/16/2020","485770642","1/4/2021","9183","421.89","364.69","3874215.87","3348948.27"
"C5362","África","Iraq","Bebida","Online","Alta","11/17/2020","536287581","1/5/2021","8268","47.45","31.79","392316.6","262839.72"
